date,temperature Â°C,humidity %
2026-01-01 00:00:00,22.4,55
2026-01-01 01:00:00,22.1,56
2026-01-01 02:00:00,21.8,57
2026-01-01 03:00:00,21.5,58
2026-01-01 04:00:00,21.2,60
2026-01-01 05:00:00,21.0,61
2026-01-01 06:00:00,21.6,62
2026-01-01 07:00:00,22.3,60
2026-01-01 08:00:00,23.5,58
2026-01-01 09:00:00,24.8,55
2026-01-01 10:00:00,26.1,52
2026-01-01 11:00:00,27.4,50
2026-01-01 12:00:00,28.2,48
2026-01-01 13:00:00,29.0,47
2026-01-01 14:00:00,29.5,45
2026-01-01 15:00:00,29.1,46
2026-01-01 16:00:00,28.4,48
2026-01-01 17:00:00,27.6,50
2026-01-01 18:00:00,26.3,52
2026-01-01 19:00:00,25.1,53